,Date,0.5
0,2024-11-25,1.6583053493499755
1,2024-12-02,1.6520284255743025
2,2024-12-09,1.6468770546913145
3,2024-12-16,1.6382238095998762
4,2024-12-23,1.6330326154232024
5,2024-12-30,1.6273857318162916
6,2025-01-06,1.620569905757904
7,2025-01-13,1.6159637771844864
8,2025-01-20,1.6119123018980026
9,2025-01-27,1.605566034078598
10,2025-02-03,1.5985229576826094
11,2025-02-10,1.5917045559883116
12,2025-02-17,1.5825557981729508
13,2025-02-24,1.5762406361103056
14,2025-03-03,1.5710744057893753
15,2025-03-10,1.5675506386756897
16,2025-03-17,1.5624851553440093
17,2025-03-24,1.5535680066347122
18,2025-03-31,1.5486150587797165
19,2025-04-07,1.543288049340248
20,2025-04-14,1.53732515501976
21,2025-04-21,1.5336322875022887
22,2025-04-28,1.530826033115387
23,2025-05-05,1.529572788119316
24,2025-05-12,1.5236612083911896
25,2025-05-19,1.5185289566516875
26,2025-05-26,1.5130334411859512
27,2025-06-02,1.509703639268875
28,2025-06-09,1.5044042683839798
29,2025-06-16,1.5014034544229506
