,Date,0.5
0,2024-11-25,2642.4036999908685
1,2024-12-02,2653.1934453024865
2,2024-12-09,2666.153817619324
3,2024-12-16,2678.318680400491
4,2024-12-23,2692.3984146556854
5,2024-12-30,2703.3714252804516
6,2025-01-06,2717.6589020652773
7,2025-01-13,2730.57722377944
8,2025-01-20,2745.7455665471552
9,2025-01-27,2756.9125120409726
10,2025-02-03,2773.243208781123
11,2025-02-10,2788.55998390007
12,2025-02-17,2801.9283098249434
13,2025-02-24,2818.927736671805
14,2025-03-03,2836.6118979592325
15,2025-03-10,2850.893726155639
16,2025-03-17,2869.5710975733996
17,2025-03-24,2884.976053433776
18,2025-03-31,2902.9486065410374
19,2025-04-07,2920.7043166151047
20,2025-04-14,2937.128528874636
21,2025-04-21,2955.80401742959
22,2025-04-28,2969.317951411486
23,2025-05-05,2985.111718441367
24,2025-05-12,3001.5381273741723
25,2025-05-19,3014.592956641793
26,2025-05-26,3031.4856879296303
27,2025-06-02,3048.4367879644633
28,2025-06-09,3063.1020925524235
29,2025-06-16,3080.5775698788166
