,Date,0.5
0,2024-11-25,254.5031989812851
1,2024-12-02,244.3091105222702
2,2024-12-09,234.46882271766663
3,2024-12-16,224.90705680847168
4,2024-12-23,216.45027780532837
5,2024-12-30,208.52319300174713
6,2025-01-06,201.0705007314682
7,2025-01-13,193.97569966316223
8,2025-01-20,186.25201654434204
9,2025-01-27,178.89217019081116
10,2025-02-03,173.7431538105011
11,2025-02-10,167.80978286266327
12,2025-02-17,161.83101952075958
13,2025-02-24,156.25541293621063
14,2025-03-03,151.06333482265472
15,2025-03-10,145.76396703720093
16,2025-03-17,141.19742560386658
17,2025-03-24,136.6447730064392
18,2025-03-31,132.58216166496277
19,2025-04-07,127.64433169364929
20,2025-04-14,124.19577020406723
21,2025-04-21,120.83464813232422
22,2025-04-28,117.53186392784119
23,2025-05-05,113.81281101703644
24,2025-05-12,110.86006987094879
25,2025-05-19,107.61885792016983
26,2025-05-26,104.40555840730667
27,2025-06-02,101.77521741390228
28,2025-06-09,99.22681421041489
29,2025-06-16,96.48582231998444
