,Date,0.5
0,2024-11-25,100.24101838696002
1,2024-12-02,100.26326376760005
2,2024-12-09,100.2864051759243
3,2024-12-16,100.30862666249274
4,2024-12-23,100.33090788424015
5,2024-12-30,100.35226918423176
6,2025-01-06,100.37419199490546
7,2025-01-13,100.39505151939392
8,2025-01-20,100.4162097197771
9,2025-01-27,100.43624489879608
10,2025-02-03,100.45641149520874
11,2025-02-10,100.4766975619793
12,2025-02-17,100.496123442173
13,2025-02-24,100.51531038165092
14,2025-03-03,100.53448537409305
15,2025-03-10,100.55280017995834
16,2025-03-17,100.57140171468258
17,2025-03-24,100.58860544621943
18,2025-03-31,100.60635874140262
19,2025-04-07,100.62340716147422
20,2025-04-14,100.64132771515845
21,2025-04-21,100.657754889369
22,2025-04-28,100.67481525647639
23,2025-05-05,100.69123048365115
24,2025-05-12,100.7078846515417
25,2025-05-19,100.72366668581962
26,2025-05-26,100.73949650824069
27,2025-06-02,100.75587589430809
28,2025-06-09,100.77218359816074
29,2025-06-16,100.78876608383655
