,Date,Data,0.05,0.1,0.2,0.25,0.5,0.75,0.8,0.9,0.95
3353,2023-10-02,490.35,,,,,,,,,
3354,2023-10-09,490.2,,,,,,,,,
3355,2023-10-16,494.3,,,,,,,,,
3356,2023-10-23,482.85,,,,,,,,,
3357,2023-10-30,475.85,,,,,,,,,
3358,2023-11-06,470.75,,,,,,,,,
3359,2023-11-13,473.6,,,,,,,,,
3360,2023-11-20,472.688,,,,,,,,,
3361,2023-11-27,478.4,,,,,,,,,
3362,2023-12-04,486.75,,,,,,,,,
3363,2023-12-11,481.7,,,,,,,,,
3364,2023-12-18,473.0,,,,,,,,,
3365,2023-12-25,475.562,,,,,,,,,
3366,2024-01-01,464.062,,,,,,,,,
3367,2024-01-08,455.7,,,,,,,,,
3368,2024-01-15,443.812,,,,,,,,,
3369,2024-01-22,448.5,,,,,,,,,
3370,2024-01-29,445.25,,,,,,,,,
3371,2024-02-05,435.6,,,,,,,,,
3372,2024-02-12,423.95,,,,,,,,,
3373,2024-02-19,415.438,,,,,,,,,
3374,2024-02-26,425.55,,,,,,,,,
3375,2024-03-04,432.55,,,,,,,,,
3376,2024-03-11,439.05,,,,,,,,,
3377,2024-03-18,438.9,,,,,,,,,
3378,2024-03-25,434.75,,,,,,,,,
3379,2024-04-01,432.65,,,,,,,,,
3380,2024-04-08,435.4,,,,,,,,,
3381,2024-04-15,441.45,,,,,,,,,
3382,2024-04-22,450.55,,,,,,,,,
3383,2024-04-29,453.35,,,,,,,,,
3384,2024-05-06,464.15,,,,,,,,,
3385,2024-05-13,462.4,,,,,,,,,
3386,2024-05-20,461.7,,,,,,,,,
3387,2024-05-27,453.188,,,,,,,,,
3388,2024-06-03,445.2,,,,,,,,,
3389,2024-06-10,452.8,,,,,,,,,
3390,2024-06-17,442.125,,,,,,,,,
3391,2024-06-24,418.0,,,,,,,,,
3392,2024-07-01,415.75,,,,,,,,,
3393,2024-07-08,409.8,,,,,,,,,
3394,2024-07-15,406.9,,,,,,,,,
3395,2024-07-22,416.2,,,,,,,,,
3396,2024-07-29,403.75,,,,,,,,,
3397,2024-08-05,401.0,,,,,,,,,
3398,2024-08-12,397.8,,,,,,,,,
3399,2024-08-19,396.2,,,,,,,,,
3400,2024-08-26,393.4,,,,,,,,,
3401,2024-09-02,409.75,,,,,,,,,
3402,2024-09-09,407.1,,,,,,,,,
3403,2024-09-16,408.7,,,,,,,,,
3404,2024-09-23,414.35,,,,,,,,,
3405,2024-09-30,427.85,,,,,,,,,
3406,2024-10-07,420.4,,,,,,,,,
3407,2024-10-14,405.15,,,,,,,,,
3408,2024-10-21,416.35,,,,,,,,,
3409,2024-10-28,412.25,,,,,,,,,
3410,2024-11-04,423.95,,,,,,,,,
3411,2024-11-11,425.6,,,,,,,,,
3412,2024-11-18,428.375,,,,,,,,,
0,2024-11-25,,428.9814758300781,429.6494140625,427.8082580566406,429.2134094238281,428.20941162109375,428.3833923339844,429.38458251953125,429.46697998046875,429.5676574707031
1,2024-12-02,,431.9105529785156,432.0910339355469,429.93804931640625,431.9443359375,431.6817932128906,432.3158264160156,433.35711669921875,434.441162109375,434.4322509765625
2,2024-12-09,,436.7398376464844,434.4594421386719,431.78070068359375,434.8388671875,434.9215087890625,435.0132141113281,435.50177001953125,437.2616882324219,436.3251953125
3,2024-12-16,,427.4121398925781,427.1125183105469,426.0869140625,425.79168701171875,426.48297119140625,427.27496337890625,427.35638427734375,428.1695861816406,428.5547790527344
4,2024-12-23,,425.3957214355469,424.1803894042969,421.7833251953125,424.9706726074219,425.3166198730469,426.6954345703125,426.1868591308594,427.7637939453125,427.7236633300781
5,2024-12-30,,427.68817138671875,428.4149475097656,425.30914306640625,424.6380615234375,426.2499084472656,428.1468200683594,427.7767333984375,428.04962158203125,429.6118469238281
6,2025-01-06,,423.6036682128906,425.7117614746094,422.94110107421875,419.6376037597656,422.4952087402344,425.2698059082031,423.9644775390625,423.0563049316406,426.6949768066406
7,2025-01-13,,434.4350280761719,434.53643798828125,433.4129333496094,429.4018249511719,432.6396789550781,434.5067138671875,433.74896240234375,434.8656311035156,436.8442687988281
8,2025-01-20,,422.98797607421875,423.0594482421875,420.62969970703125,418.1040344238281,422.26141357421875,425.041259765625,423.2513122558594,425.6352233886719,428.223388671875
9,2025-01-27,,430.583984375,427.87628173828125,427.61529541015625,425.350341796875,429.75738525390625,432.2457275390625,430.2671203613281,433.6942443847656,435.3911437988281
10,2025-02-03,,424.4644470214844,422.5030517578125,419.7188720703125,418.6787414550781,423.8469543457031,426.27191162109375,424.83123779296875,428.3685607910156,429.9651794433594
11,2025-02-10,,418.3792419433594,418.3116760253906,415.2840270996094,413.97821044921875,418.8819274902344,421.4276123046875,419.9606018066406,422.9007568359375,425.05908203125
12,2025-02-17,,422.22113037109375,423.7495422363281,422.0030517578125,418.7329406738281,423.9027099609375,426.7480773925781,425.8081359863281,428.2907409667969,430.5997314453125
13,2025-02-24,,417.0732421875,419.90069580078125,414.2321472167969,413.4918212890625,418.4022216796875,420.72967529296875,419.5369567871094,422.0286865234375,424.26629638671875
14,2025-03-03,,410.68963623046875,415.301513671875,409.5968933105469,409.4264221191406,414.5733642578125,416.2234802246094,417.0594177246094,418.458984375,419.9898681640625
15,2025-03-10,,403.1878967285156,410.217041015625,403.7274475097656,401.582275390625,406.7538757324219,409.1990051269531,409.5708923339844,409.5182800292969,412.2077941894531
16,2025-03-17,,408.17730712890625,414.6240539550781,410.1100158691406,406.5789794921875,413.1147766113281,414.8722839355469,415.6512145996094,415.88531494140625,418.1107482910156
