,Date,Data,0.5
3222,2023-10-02,4.746,
3223,2023-10-09,4.642,
3224,2023-10-16,4.872,
3225,2023-10-23,4.868,
3226,2023-10-30,4.754,
3227,2023-11-06,4.594,
3228,2023-11-13,4.498,
3229,2023-11-20,4.43,
3230,2023-11-27,4.318,
3231,2023-12-04,4.19,
3232,2023-12-11,4.06,
3233,2023-12-18,3.906,
3234,2023-12-25,3.85,
3235,2024-01-01,3.975,
3236,2024-01-08,4.002,
3237,2024-01-15,4.115,
3238,2024-01-22,4.144,
3239,2024-01-29,4.006,
3240,2024-02-05,4.134,
3241,2024-02-12,4.258,
3242,2024-02-19,4.295,
3243,2024-02-26,4.26,
3244,2024-03-04,4.128,
3245,2024-03-11,4.21,
3246,2024-03-18,4.28,
3247,2024-03-25,4.222,
3248,2024-04-01,4.35,
3249,2024-04-08,4.478,
3250,2024-04-15,4.632,
3251,2024-04-22,4.65,
3252,2024-04-29,4.606,
3253,2024-05-06,4.478,
3254,2024-05-13,4.418,
3255,2024-05-20,4.442,
3256,2024-05-27,4.552,
3257,2024-06-03,4.348,
3258,2024-06-10,4.322,
3259,2024-06-17,4.25,
3260,2024-06-24,4.29,
3261,2024-07-01,4.388,
3262,2024-07-08,4.248,
3263,2024-07-15,4.202,
3264,2024-07-22,4.252,
3265,2024-07-29,4.04,
3266,2024-08-05,3.914,
3267,2024-08-12,3.878,
3268,2024-08-19,3.828,
3269,2024-08-26,3.854,
3270,2024-09-02,3.765,
3271,2024-09-09,3.668,
3272,2024-09-16,3.688,
3273,2024-09-23,3.764,
3274,2024-09-30,3.834,
3275,2024-10-07,4.06,
3276,2024-10-14,4.055,
3277,2024-10-21,4.218,
3278,2024-10-28,4.3,
3279,2024-11-04,4.32,
3280,2024-11-11,4.432,
3281,2024-11-18,4.412,
0,2024-11-25,,4.4330059723854065
1,2024-12-02,,4.440974661827087
2,2024-12-09,,4.450194589614868
3,2024-12-16,,4.450512264251709
4,2024-12-23,,4.460908219337464
5,2024-12-30,,4.46298467540741
6,2025-01-06,,4.463982931137084
7,2025-01-13,,4.462157879829407
8,2025-01-20,,4.471118513584137
9,2025-01-27,,4.465871622562409
10,2025-02-03,,4.461523582458496
11,2025-02-10,,4.4661793041229245
12,2025-02-17,,4.460106143474579
13,2025-02-24,,4.462405602931976
14,2025-03-03,,4.463913505554199
15,2025-03-10,,4.458478849887848
16,2025-03-17,,4.4545578823089595
17,2025-03-24,,4.451010866165161
18,2025-03-31,,4.445725580692291
19,2025-04-07,,4.439474648475647
20,2025-04-14,,4.44243470287323
21,2025-04-21,,4.43485732126236
22,2025-04-28,,4.431876228809356
23,2025-05-05,,4.433385183334351
24,2025-05-12,,4.426791330814361
25,2025-05-19,,4.4123092594146724
26,2025-05-26,,4.408520042657852
27,2025-06-02,,4.398263727664947
28,2025-06-09,,4.3930005321502685
29,2025-06-16,,4.385247219800949
