,Date,Data,0.05,0.1,0.2,0.25,0.5,0.75,0.8,0.9,0.95
322,2019-10-28,100.0,,,,,,,,,
323,2019-11-25,730.0,,,,,,,,,
324,2019-12-30,660.0,,,,,,,,,
325,2020-01-27,270.0,,,,,,,,,
326,2020-02-24,320.0,,,,,,,,,
327,2020-03-30,890.0,,,,,,,,,
328,2020-04-27,640.0,,,,,,,,,
329,2020-06-01,880.0,,,,,,,,,
330,2020-06-29,910.0,,,,,,,,,
331,2020-07-27,1020.0,,,,,,,,,
332,2020-08-31,1080.0,,,,,,,,,
333,2020-09-28,1140.0,,,,,,,,,
334,2020-10-26,1230.0,,,,,,,,,
335,2020-11-30,2250.0,,,,,,,,,
336,2020-12-28,3010.0,,,,,,,,,
337,2021-02-01,1780.0,,,,,,,,,
338,2021-03-01,1937.0,,,,,,,,,
339,2021-03-29,1850.0,,,,,,,,,
340,2021-04-26,3160.0,,,,,,,,,
341,2021-05-31,3565.0,,,,,,,,,
342,2021-06-28,2860.0,,,,,,,,,
343,2021-07-26,3230.0,,,,,,,,,
344,2021-08-30,3530.0,,,,,,,,,
345,2021-09-27,1300.0,,,,,,,,,
346,2021-11-01,790.0,,,,,,,,,
347,2021-11-29,1330.0,,,,,,,,,
348,2021-12-27,2750.0,,,,,,,,,
349,2022-01-31,1930.0,,,,,,,,,
350,2022-02-28,2410.0,,,,,,,,,
351,2022-03-28,2210.0,,,,,,,,,
352,2022-04-25,2080.0,,,,,,,,,
353,2022-05-30,2210.0,,,,,,,,,
354,2022-06-27,1540.0,,,,,,,,,
355,2022-08-01,1800.0,,,,,,,,,
356,2022-08-29,1530.0,,,,,,,,,
357,2022-09-26,550.0,,,,,,,,,
358,2022-10-31,740.0,,,,,,,,,
359,2022-11-28,870.0,,,,,,,,,
360,2022-12-26,2240.0,,,,,,,,,
361,2023-01-30,3090.0,,,,,,,,,
362,2023-02-27,2190.0,,,,,,,,,
363,2023-03-27,1000.0,,,,,,,,,
364,2023-05-01,1660.0,,,,,,,,,
365,2023-05-29,1850.0,,,,,,,,,
366,2023-06-26,1680.0,,,,,,,,,
367,2023-07-31,1200.0,,,,,,,,,
368,2023-08-28,1650.0,,,,,,,,,
369,2023-09-25,2040.0,,,,,,,,,
370,2023-10-30,3590.0,,,,,,,,,
371,2023-11-27,4950.0,,,,,,,,,
372,2024-01-01,3590.0,,,,,,,,,
373,2024-01-29,2600.0,,,,,,,,,
374,2024-02-26,1710.0,,,,,,,,,
375,2024-04-01,1180.0,,,,,,,,,
376,2024-04-29,1050.0,,,,,,,,,
377,2024-05-27,920.0,,,,,,,,,
378,2024-07-01,1090.0,,,,,,,,,
379,2024-07-29,430.0,,,,,,,,,
380,2024-08-26,310.0,,,,,,,,,
381,2024-09-30,250.0,,,,,,,,,
0,2024-11-25,,235.4358367919922,245.07359313964844,285.49920654296875,217.1275634765625,253.28358459472656,276.75830078125,298.32916259765625,262.5291748046875,195.14175415039062
1,2024-12-02,,213.8404998779297,235.16094970703125,248.5440673828125,180.5991973876953,238.92599487304688,265.1105651855469,263.1649475097656,241.18136596679688,208.35520935058594
2,2024-12-09,,195.86505126953125,208.5501708984375,199.2822723388672,158.27256774902344,210.901611328125,256.7239990234375,301.6134338378906,255.55043029785156,253.51873779296875
3,2024-12-16,,184.87490844726562,216.79359436035156,211.6005859375,150.987060546875,210.07093811035156,228.1037139892578,293.35260009765625,262.171875,263.22186279296875
4,2024-12-23,,167.2847137451172,216.12200927734375,205.61923217773438,154.62127685546875,206.16366577148438,195.40879821777344,263.0184631347656,251.42750549316406,283.8942565917969
5,2024-12-30,,151.0299072265625,189.12059020996094,213.5373077392578,166.2030487060547,193.7464599609375,185.50778198242188,270.8774719238281,226.59632873535156,254.49127197265625
6,2025-01-06,,145.08331298828125,164.45266723632812,231.03695678710938,165.1813201904297,219.46435546875,175.6439971923828,289.4002990722656,186.99102783203125,245.73318481445312
7,2025-01-13,,130.8623809814453,128.4036407470703,216.19834899902344,153.3863067626953,210.30355834960938,191.33900451660156,290.9173278808594,166.05441284179688,223.35166931152344
8,2025-01-20,,124.68093872070312,116.64308166503906,195.60585021972656,132.90158081054688,206.7187042236328,160.79307556152344,246.8540496826172,170.83279418945312,229.21128845214844
9,2025-01-27,,115.57584381103516,111.6717529296875,165.80636596679688,120.61595153808594,211.26760864257812,159.0799560546875,237.5006866455078,163.42800903320312,230.86172485351562
10,2025-02-03,,121.53280639648438,105.20201110839844,176.07228088378906,121.14116668701172,200.9944610595703,172.08042907714844,226.04693603515625,166.0643310546875,227.1445770263672
11,2025-02-10,,107.18478393554688,118.90895080566406,180.2630157470703,129.62135314941406,206.4495849609375,198.43472290039062,205.62210083007812,183.5719757080078,215.82061767578125
12,2025-02-17,,100.35907745361328,101.73733520507812,174.98245239257812,134.77847290039062,214.91334533691406,195.80682373046875,170.50100708007812,177.89144897460938,218.89410400390625
13,2025-02-24,,91.97362518310547,93.54515838623047,165.2138214111328,122.43869018554688,182.6403350830078,196.06869506835938,189.40248107910156,184.4090118408203,200.30555725097656
14,2025-03-03,,99.1724853515625,95.0611801147461,157.18748474121094,114.56866455078125,201.51669311523438,199.00843811035156,176.80239868164062,181.39498901367188,197.288330078125
15,2025-03-10,,91.18017578125,102.59375,155.69325256347656,102.04083251953125,206.02984619140625,188.3077850341797,157.30751037597656,156.47279357910156,181.44166564941406
16,2025-03-17,,86.4310531616211,102.46009063720703,143.87306213378906,113.8551025390625,193.3813934326172,199.3173828125,142.8583526611328,146.36251831054688,191.52017211914062
17,2025-03-24,,74.92063903808594,119.68616485595703,130.1812286376953,100.45751190185547,141.71466064453125,206.4542236328125,150.86395263671875,146.84617614746094,201.81137084960938
18,2025-03-31,,76.29927062988281,125.46499633789062,118.89466857910156,98.35338592529297,127.34110260009766,201.06861877441406,146.13841247558594,148.22242736816406,195.5278778076172
19,2025-04-07,,85.69076538085938,117.60935974121094,109.05182647705078,98.83612823486328,137.20108032226562,195.94903564453125,141.72023010253906,157.80519104003906,242.2349090576172
20,2025-04-14,,77.28146362304688,113.93682861328125,90.09413146972656,87.0587387084961,125.1307373046875,199.34027099609375,136.55300903320312,163.420654296875,211.65985107421875
21,2025-04-21,,70.44831085205078,103.85669708251953,91.46804809570312,74.75210571289062,130.28147888183594,212.46408081054688,152.38417053222656,181.91265869140625,231.0383758544922
22,2025-04-28,,62.21316146850586,81.1559066772461,100.80818939208984,67.9866943359375,109.8590316772461,192.28494262695312,177.5625457763672,175.1263885498047,234.25892639160156
23,2025-05-05,,58.60270309448242,72.35224151611328,86.24473571777344,65.29273223876953,111.49600982666016,173.4420928955078,169.60809326171875,214.5867919921875,266.552978515625
24,2025-05-12,,52.52817916870117,60.26665496826172,74.56120300292969,75.7162857055664,102.99594116210938,159.06312561035156,159.06207275390625,224.02188110351562,255.55653381347656
25,2025-05-19,,55.207786560058594,53.54346466064453,81.67532348632812,72.14369201660156,96.25198364257812,158.97850036621094,141.1842498779297,227.8936004638672,246.2955322265625
26,2025-05-26,,43.907535552978516,48.2082405090332,80.64508056640625,67.03910827636719,110.04270935058594,144.2842559814453,165.0143280029297,226.2021942138672,310.4294128417969
27,2025-06-02,,36.22539138793945,48.49333572387695,75.1048812866211,69.18342590332031,106.46473693847656,158.71922302246094,181.8323974609375,218.7805633544922,302.0245666503906
28,2025-06-09,,39.393802642822266,46.594017028808594,62.38917922973633,66.4823989868164,99.3691177368164,149.13514709472656,185.9503173828125,222.6928253173828,284.1189270019531
29,2025-06-16,,36.34195327758789,46.0026741027832,59.498287200927734,65.72972869873047,97.33274841308594,148.78172302246094,167.46304321289062,222.4166259765625,262.83660888671875
