,Date,Data,0.05,0.1,0.2,0.25,0.5,0.75,0.8,0.9,0.95
847,2023-10-02,1.886,,,,,,,,,
848,2023-10-09,1.903,,,,,,,,,
849,2023-10-16,1.931,,,,,,,,,
850,2023-10-23,1.914,,,,,,,,,
851,2023-10-30,1.814,,,,,,,,,
852,2023-11-06,1.765,,,,,,,,,
853,2023-11-13,1.786,,,,,,,,,
854,2023-11-20,1.795,,,,,,,,,
855,2023-11-27,1.764,,,,,,,,,
856,2023-12-04,1.694,,,,,,,,,
857,2023-12-11,1.622,,,,,,,,,
858,2023-12-18,1.586,,,,,,,,,
859,2023-12-25,1.612,,,,,,,,,
860,2024-01-01,1.556,,,,,,,,,
861,2024-01-08,1.606,,,,,,,,,
862,2024-01-15,1.591,,,,,,,,,
863,2024-01-22,1.602,,,,,,,,,
864,2024-01-29,1.636,,,,,,,,,
865,2024-02-05,1.602,,,,,,,,,
866,2024-02-12,1.538,,,,,,,,,
867,2024-02-19,1.477,,,,,,,,,
868,2024-02-26,1.446,,,,,,,,,
869,2024-03-04,1.593,,,,,,,,,
870,2024-03-11,1.668,,,,,,,,,
871,2024-03-18,1.636,,,,,,,,,
872,2024-03-25,1.62,,,,,,,,,
873,2024-04-01,1.651,,,,,,,,,
874,2024-04-08,1.693,,,,,,,,,
875,2024-04-15,1.667,,,,,,,,,
876,2024-04-22,1.709,,,,,,,,,
877,2024-04-29,1.712,,,,,,,,,
878,2024-05-06,1.769,,,,,,,,,
879,2024-05-13,1.792,,,,,,,,,
880,2024-05-20,1.779,,,,,,,,,
881,2024-05-27,1.816,,,,,,,,,
882,2024-06-03,1.805,,,,,,,,,
883,2024-06-10,1.89,,,,,,,,,
884,2024-06-17,1.931,,,,,,,,,
885,2024-06-24,2.018,,,,,,,,,
886,2024-07-01,1.944,,,,,,,,,
887,2024-07-08,1.848,,,,,,,,,
888,2024-07-15,1.821,,,,,,,,,
889,2024-07-22,1.824,,,,,,,,,
890,2024-07-29,1.8,,,,,,,,,
891,2024-08-05,1.775,,,,,,,,,
892,2024-08-12,1.79,,,,,,,,,
893,2024-08-19,1.81,,,,,,,,,
894,2024-08-26,1.885,,,,,,,,,
895,2024-09-02,1.832,,,,,,,,,
896,2024-09-09,1.754,,,,,,,,,
897,2024-09-16,1.715,,,,,,,,,
898,2024-09-23,1.696,,,,,,,,,
899,2024-09-30,1.603,,,,,,,,,
900,2024-10-07,1.573,,,,,,,,,
901,2024-10-14,1.522,,,,,,,,,
902,2024-10-21,1.564,,,,,,,,,
903,2024-10-28,1.567,,,,,,,,,
904,2024-11-04,1.573,,,,,,,,,
905,2024-11-11,1.608,,,,,,,,,
906,2024-11-18,1.648,,,,,,,,,
0,2024-11-25,,1.6200884580612183,1.5919448137283325,1.6883734464645386,1.54680597782135,1.6313902139663696,1.6255789995193481,1.7214163541793823,1.6298582553863525,1.7339972257614136
1,2024-12-02,,1.5983816385269165,1.5300865173339844,1.623982310295105,1.5112117528915405,1.6370779275894165,1.6325827836990356,1.7049752473831177,1.5791683197021484,1.69781494140625
2,2024-12-09,,1.5897557735443115,1.497048020362854,1.6022861003875732,1.5925105810165405,1.5488406419754028,1.570826530456543,1.7020643949508667,1.6300462484359741,1.8062635660171509
3,2024-12-16,,1.529168725013733,1.5254099369049072,1.5952783823013306,1.5949211120605469,1.5596102476119995,1.5363819599151611,1.8043339252471924,1.559303879737854,1.7347294092178345
4,2024-12-23,,1.442834734916687,1.4725854396820068,1.6147358417510986,1.6374861001968384,1.5072871446609497,1.4365429878234863,1.8839480876922607,1.5638315677642822,1.7462842464447021
5,2024-12-30,,1.4104409217834473,1.443023920059204,1.5828673839569092,1.6217503547668457,1.5504227876663208,1.4183112382888794,1.897135853767395,1.6300199031829834,1.8015462160110474
6,2025-01-06,,1.406520128250122,1.5336214303970337,1.5791021585464478,1.605383038520813,1.561432957649231,1.4787737131118774,1.8553718328475952,1.6342319250106812,1.8319730758666992
7,2025-01-13,,1.4684847593307495,1.4816190004348755,1.5813595056533813,1.4916598796844482,1.5314381122589111,1.5403428077697754,1.8622492551803589,1.6975232362747192,1.8466497659683228
8,2025-01-20,,1.4105933904647827,1.523369550704956,1.5964958667755127,1.4724113941192627,1.527427077293396,1.5128977298736572,1.8938336372375488,1.6320195198059082,1.9733519554138184
9,2025-01-27,,1.4037485122680664,1.535224199295044,1.5873463153839111,1.447465419769287,1.5232139825820923,1.477501392364502,1.7814728021621704,1.6368207931518555,2.077775716781616
10,2025-02-03,,1.3227399587631226,1.4409689903259277,1.5330171585083008,1.4854243993759155,1.4194377660751343,1.4643694162368774,1.8098641633987427,1.6706444025039673,2.1045238971710205
11,2025-02-10,,1.4042389392852783,1.444993019104004,1.5713214874267578,1.4705790281295776,1.4191489219665527,1.4614198207855225,1.7143051624298096,1.575713872909546,2.013504981994629
12,2025-02-17,,1.3225655555725098,1.3293083906173706,1.6222912073135376,1.4875702857971191,1.457554817199707,1.4719743728637695,1.6952290534973145,1.652825951576233,1.9994028806686401
13,2025-02-24,,1.3242195844650269,1.3583955764770508,1.608893871307373,1.3680378198623657,1.4682743549346924,1.4814244508743286,1.6753278970718384,1.6858444213867188,2.019379138946533
14,2025-03-03,,1.2366199493408203,1.262661337852478,1.6006708145141602,1.4053235054016113,1.442051887512207,1.5191055536270142,1.5850107669830322,1.6248162984848022,2.0332891941070557
15,2025-03-10,,1.2247378826141357,1.2390564680099487,1.6211405992507935,1.3775752782821655,1.5069351196289062,1.5629023313522339,1.6182737350463867,1.6612884998321533,2.078780174255371
16,2025-03-17,,1.184623122215271,1.2138606309890747,1.5750863552093506,1.3791594505310059,1.4144366979599,1.56952965259552,1.6812124252319336,1.7087000608444214,2.0726919174194336
17,2025-03-24,,1.1707584857940674,1.1595146656036377,1.5076569318771362,1.4577332735061646,1.4344704151153564,1.5361543893814087,1.6412529945373535,1.729982852935791,2.0619843006134033
18,2025-03-31,,1.2114686965942383,1.191150188446045,1.459285020828247,1.4804896116256714,1.4611132144927979,1.5296550989151,1.5854979753494263,1.6955856084823608,2.0912842750549316
19,2025-04-07,,1.183546543121338,1.1995137929916382,1.4299688339233398,1.4431325197219849,1.4583410024642944,1.489707112312317,1.582234263420105,1.750268816947937,2.139056921005249
20,2025-04-14,,1.1904489994049072,1.1460623741149902,1.403499722480774,1.406488060951233,1.4681193828582764,1.533066987991333,1.5867974758148193,1.7052233219146729,1.9537527561187744
21,2025-04-21,,1.190900206565857,1.2183308601379395,1.327520728111267,1.3532195091247559,1.4899271726608276,1.448112964630127,1.500749945640564,1.7911161184310913,1.857224464416504
22,2025-04-28,,1.174163579940796,1.250863790512085,1.2940844297409058,1.3260849714279175,1.5182461738586426,1.4805327653884888,1.4972862005233765,1.882597804069519,1.8284920454025269
23,2025-05-05,,1.1789523363113403,1.284166693687439,1.259547472000122,1.3896727561950684,1.5295095443725586,1.4846346378326416,1.4554566144943237,1.9724980592727661,1.824714183807373
24,2025-05-12,,1.1306754350662231,1.2734824419021606,1.257139801979065,1.3814804553985596,1.5477521419525146,1.4530868530273438,1.4636826515197754,2.0269532203674316,1.7941733598709106
25,2025-05-19,,1.0655306577682495,1.2331652641296387,1.2787500619888306,1.4037055969238281,1.5363502502441406,1.502856969833374,1.5297389030456543,1.9755337238311768,1.8635163307189941
26,2025-05-26,,1.032913327217102,1.2219080924987793,1.265660285949707,1.3330414295196533,1.5005724430084229,1.6036863327026367,1.6400320529937744,1.7955719232559204,1.833143711090088
27,2025-06-02,,1.062830924987793,1.1917883157730103,1.2290668487548828,1.3694819211959839,1.476094126701355,1.6273695230484009,1.7160983085632324,1.788479208946228,1.924593210220337
28,2025-06-09,,1.1147751808166504,1.168824315071106,1.2837367057800293,1.2692673206329346,1.4936872720718384,1.633254885673523,1.7411205768585205,1.8410565853118896,1.9292762279510498
