,Date,Data,0.05,0.1,0.2,0.25,0.5,0.75,0.8,0.9,0.95
3353,2023-10-02,490.35,,,,,,,,,
3354,2023-10-09,490.2,,,,,,,,,
3355,2023-10-16,494.3,,,,,,,,,
3356,2023-10-23,482.85,,,,,,,,,
3357,2023-10-30,475.85,,,,,,,,,
3358,2023-11-06,470.75,,,,,,,,,
3359,2023-11-13,473.6,,,,,,,,,
3360,2023-11-20,472.688,,,,,,,,,
3361,2023-11-27,478.4,,,,,,,,,
3362,2023-12-04,486.75,,,,,,,,,
3363,2023-12-11,481.7,,,,,,,,,
3364,2023-12-18,473.0,,,,,,,,,
3365,2023-12-25,475.562,,,,,,,,,
3366,2024-01-01,464.062,,,,,,,,,
3367,2024-01-08,455.7,,,,,,,,,
3368,2024-01-15,443.812,,,,,,,,,
3369,2024-01-22,448.5,,,,,,,,,
3370,2024-01-29,445.25,,,,,,,,,
3371,2024-02-05,435.6,,,,,,,,,
3372,2024-02-12,423.95,,,,,,,,,
3373,2024-02-19,415.438,,,,,,,,,
3374,2024-02-26,425.55,,,,,,,,,
3375,2024-03-04,432.55,,,,,,,,,
3376,2024-03-11,439.05,,,,,,,,,
3377,2024-03-18,438.9,,,,,,,,,
3378,2024-03-25,434.75,,,,,,,,,
3379,2024-04-01,432.65,,,,,,,,,
3380,2024-04-08,435.4,,,,,,,,,
3381,2024-04-15,441.45,,,,,,,,,
3382,2024-04-22,450.55,,,,,,,,,
3383,2024-04-29,453.35,,,,,,,,,
3384,2024-05-06,464.15,,,,,,,,,
3385,2024-05-13,462.4,,,,,,,,,
3386,2024-05-20,461.7,,,,,,,,,
3387,2024-05-27,453.188,,,,,,,,,
3388,2024-06-03,445.2,,,,,,,,,
3389,2024-06-10,452.8,,,,,,,,,
3390,2024-06-17,442.125,,,,,,,,,
3391,2024-06-24,418.0,,,,,,,,,
3392,2024-07-01,415.75,,,,,,,,,
3393,2024-07-08,409.8,,,,,,,,,
3394,2024-07-15,406.9,,,,,,,,,
3395,2024-07-22,416.2,,,,,,,,,
3396,2024-07-29,403.75,,,,,,,,,
3397,2024-08-05,401.0,,,,,,,,,
3398,2024-08-12,397.8,,,,,,,,,
3399,2024-08-19,396.2,,,,,,,,,
3400,2024-08-26,393.4,,,,,,,,,
3401,2024-09-02,409.75,,,,,,,,,
3402,2024-09-09,407.1,,,,,,,,,
3403,2024-09-16,408.7,,,,,,,,,
3404,2024-09-23,414.35,,,,,,,,,
3405,2024-09-30,427.85,,,,,,,,,
3406,2024-10-07,420.4,,,,,,,,,
3407,2024-10-14,405.15,,,,,,,,,
3408,2024-10-21,416.35,,,,,,,,,
3409,2024-10-28,412.25,,,,,,,,,
3410,2024-11-04,423.95,,,,,,,,,
3411,2024-11-11,425.6,,,,,,,,,
3412,2024-11-18,428.375,,,,,,,,,
0,2024-11-25,,429.7965087890625,428.4328918457031,429.3904113769531,428.4151916503906,427.94000244140625,432.7460632324219,431.3876647949219,430.78369140625,431.9422302246094
1,2024-12-02,,432.38250732421875,431.2167663574219,431.8233337402344,431.2025451660156,431.2383117675781,434.5987854003906,433.6557312011719,432.78021240234375,433.69403076171875
2,2024-12-09,,433.20916748046875,431.4416198730469,432.6943359375,431.9990539550781,431.7041320800781,432.04486083984375,431.79132080078125,431.1658630371094,431.9432373046875
3,2024-12-16,,427.22955322265625,424.9808349609375,426.3359680175781,425.1767883300781,425.99676513671875,425.0836486816406,424.94525146484375,424.6722412109375,424.9338073730469
4,2024-12-23,,425.7955627441406,425.22320556640625,424.4168701171875,425.0917663574219,425.4936218261719,425.0673522949219,424.3352966308594,424.0716247558594,424.530517578125
5,2024-12-30,,424.96630859375,423.4803771972656,424.2527770996094,423.4266052246094,423.1104431152344,423.9756164550781,424.20184326171875,422.4154052734375,423.0603332519531
6,2025-01-06,,421.1353454589844,421.9925231933594,419.7255859375,420.14715576171875,420.5347900390625,419.408935546875,418.8041687011719,416.9833984375,417.76422119140625
7,2025-01-13,,431.7278747558594,431.55706787109375,431.0832824707031,430.6265563964844,430.9027099609375,431.4660949707031,431.6653137207031,429.1572265625,429.97198486328125
8,2025-01-20,,419.2484130859375,421.9817199707031,419.5789489746094,419.3968200683594,420.9952392578125,420.97796630859375,419.8212890625,417.81719970703125,418.78399658203125
9,2025-01-27,,428.25830078125,428.4234313964844,428.8187561035156,427.6487731933594,428.79095458984375,429.3060302734375,429.6084899902344,426.2444763183594,427.65618896484375
10,2025-02-03,,421.2325744628906,421.9083557128906,421.6537170410156,420.06048583984375,422.3106384277344,421.74871826171875,420.8428955078125,418.6370849609375,419.3154602050781
11,2025-02-10,,416.45587158203125,417.9320983886719,416.92681884765625,416.65350341796875,417.3041687011719,417.6304931640625,416.056396484375,413.8089904785156,414.93170166015625
12,2025-02-17,,424.76416015625,424.8523864746094,424.6878356933594,423.33538818359375,424.8141174316406,425.3558654785156,424.95806884765625,421.8841247558594,423.0108337402344
13,2025-02-24,,415.8767395019531,416.4869689941406,416.1360168457031,414.43511962890625,416.45196533203125,416.0576171875,414.08001708984375,412.4117431640625,412.8541564941406
14,2025-03-03,,414.09326171875,413.6468200683594,413.75128173828125,411.9170837402344,413.5411682128906,414.08148193359375,411.33868408203125,411.0157165527344,410.865234375
15,2025-03-10,,405.5050048828125,405.6986083984375,404.96588134765625,404.3732604980469,404.71258544921875,407.1169738769531,404.8071594238281,403.599365234375,403.6005554199219
16,2025-03-17,,409.2332763671875,410.7226257324219,409.2398986816406,408.6361999511719,409.0998229980469,408.5958251953125,405.46173095703125,405.0731201171875,404.8065185546875
