,Date,Data,0.05,0.1,0.2,0.25,0.5,0.75,0.8,0.9,0.95
3222,2023-10-02,4.746,,,,,,,,,
3223,2023-10-09,4.642,,,,,,,,,
3224,2023-10-16,4.872,,,,,,,,,
3225,2023-10-23,4.868,,,,,,,,,
3226,2023-10-30,4.754,,,,,,,,,
3227,2023-11-06,4.594,,,,,,,,,
3228,2023-11-13,4.498,,,,,,,,,
3229,2023-11-20,4.43,,,,,,,,,
3230,2023-11-27,4.318,,,,,,,,,
3231,2023-12-04,4.19,,,,,,,,,
3232,2023-12-11,4.06,,,,,,,,,
3233,2023-12-18,3.906,,,,,,,,,
3234,2023-12-25,3.85,,,,,,,,,
3235,2024-01-01,3.975,,,,,,,,,
3236,2024-01-08,4.002,,,,,,,,,
3237,2024-01-15,4.115,,,,,,,,,
3238,2024-01-22,4.144,,,,,,,,,
3239,2024-01-29,4.006,,,,,,,,,
3240,2024-02-05,4.134,,,,,,,,,
3241,2024-02-12,4.258,,,,,,,,,
3242,2024-02-19,4.295,,,,,,,,,
3243,2024-02-26,4.26,,,,,,,,,
3244,2024-03-04,4.128,,,,,,,,,
3245,2024-03-11,4.21,,,,,,,,,
3246,2024-03-18,4.28,,,,,,,,,
3247,2024-03-25,4.222,,,,,,,,,
3248,2024-04-01,4.35,,,,,,,,,
3249,2024-04-08,4.478,,,,,,,,,
3250,2024-04-15,4.632,,,,,,,,,
3251,2024-04-22,4.65,,,,,,,,,
3252,2024-04-29,4.606,,,,,,,,,
3253,2024-05-06,4.478,,,,,,,,,
3254,2024-05-13,4.418,,,,,,,,,
3255,2024-05-20,4.442,,,,,,,,,
3256,2024-05-27,4.552,,,,,,,,,
3257,2024-06-03,4.348,,,,,,,,,
3258,2024-06-10,4.322,,,,,,,,,
3259,2024-06-17,4.25,,,,,,,,,
3260,2024-06-24,4.29,,,,,,,,,
3261,2024-07-01,4.388,,,,,,,,,
3262,2024-07-08,4.248,,,,,,,,,
3263,2024-07-15,4.202,,,,,,,,,
3264,2024-07-22,4.252,,,,,,,,,
3265,2024-07-29,4.04,,,,,,,,,
3266,2024-08-05,3.914,,,,,,,,,
3267,2024-08-12,3.878,,,,,,,,,
3268,2024-08-19,3.828,,,,,,,,,
3269,2024-08-26,3.854,,,,,,,,,
3270,2024-09-02,3.765,,,,,,,,,
3271,2024-09-09,3.668,,,,,,,,,
3272,2024-09-16,3.688,,,,,,,,,
3273,2024-09-23,3.764,,,,,,,,,
3274,2024-09-30,3.834,,,,,,,,,
3275,2024-10-07,4.06,,,,,,,,,
3276,2024-10-14,4.055,,,,,,,,,
3277,2024-10-21,4.218,,,,,,,,,
3278,2024-10-28,4.3,,,,,,,,,
3279,2024-11-04,4.32,,,,,,,,,
3280,2024-11-11,4.432,,,,,,,,,
3281,2024-11-18,4.412,,,,,,,,,
0,2024-11-25,,4.344865322113037,4.411027908325195,4.454156875610352,4.51639986038208,4.344189167022705,4.505054473876953,4.435163497924805,4.735603332519531,4.3816399574279785
1,2024-12-02,,4.249104022979736,4.277211666107178,4.438362121582031,4.437939643859863,4.409310817718506,4.56088924407959,4.6072773933410645,5.042968273162842,4.284419059753418
2,2024-12-09,,4.129439830780029,4.166006088256836,4.323974132537842,4.64616584777832,4.4793524742126465,4.500891208648682,4.564755439758301,5.04649543762207,4.292496204376221
3,2024-12-16,,4.154465675354004,4.177192687988281,4.430001258850098,4.564506530761719,4.693674087524414,4.409802436828613,4.656970024108887,5.2438883781433105,4.42857027053833
4,2024-12-23,,3.9694137573242188,4.08725643157959,4.437722682952881,4.575377941131592,4.51135778427124,4.613506317138672,4.656674385070801,5.127743721008301,4.433099269866943
5,2024-12-30,,4.061812400817871,4.018613815307617,4.368412971496582,4.653311729431152,4.474074363708496,4.518036365509033,4.906862258911133,5.19029426574707,4.487118244171143
6,2025-01-06,,4.2605719566345215,4.002574920654297,4.3352437019348145,4.463727951049805,4.64235782623291,4.390063762664795,5.015533924102783,5.2795186042785645,4.5026679039001465
7,2025-01-13,,4.385528087615967,4.180006504058838,4.251737117767334,4.571439743041992,4.6434125900268555,4.45206356048584,5.186569690704346,4.999678611755371,4.563969612121582
8,2025-01-20,,4.402493000030518,4.215458869934082,4.074127197265625,4.644822597503662,4.5432634353637695,4.565917015075684,5.18169641494751,5.0683465003967285,4.553969860076904
9,2025-01-27,,4.601040363311768,4.1997270584106445,3.943161725997925,4.507791519165039,4.521806716918945,4.562526226043701,5.199994087219238,5.234923362731934,4.489213466644287
10,2025-02-03,,4.4804301261901855,4.088947296142578,3.901383876800537,4.514217376708984,4.539783954620361,4.424835205078125,5.237959861755371,5.348074913024902,4.595818996429443
11,2025-02-10,,4.515396595001221,3.92100191116333,3.9172775745391846,4.59022331237793,4.766967296600342,4.289143085479736,5.24135160446167,5.544429302215576,4.590008735656738
12,2025-02-17,,4.530605316162109,3.8314735889434814,3.960670232772827,4.640938758850098,4.682122707366943,4.429046630859375,5.204167366027832,5.657303333282471,4.5928473472595215
13,2025-02-24,,4.415624141693115,3.8899128437042236,3.915356159210205,4.649847030639648,4.555667400360107,4.52726936340332,5.139912128448486,5.803994178771973,4.666344165802002
14,2025-03-03,,4.473278999328613,3.758859157562256,3.7579665184020996,4.4938764572143555,4.52161169052124,4.750086784362793,4.9144978523254395,5.995818138122559,4.638476371765137
15,2025-03-10,,4.251777648925781,3.616840362548828,3.8793821334838867,4.482128620147705,4.715499401092529,4.708962440490723,5.129824638366699,6.023954391479492,4.892767429351807
16,2025-03-17,,4.165325164794922,3.619723320007324,3.9252750873565674,4.506045341491699,4.878405570983887,4.700070381164551,4.90495491027832,5.941610813140869,4.830153942108154
17,2025-03-24,,3.953995704650879,3.5795466899871826,4.0267157554626465,4.3666582107543945,4.896529197692871,4.578952312469482,4.706393718719482,5.91634464263916,4.8836894035339355
18,2025-03-31,,3.7609968185424805,3.617847442626953,4.071875095367432,4.285810470581055,4.938173770904541,4.521336555480957,4.815966606140137,5.846320629119873,4.866877555847168
19,2025-04-07,,3.7808852195739746,3.519911527633667,4.236917972564697,4.244840145111084,4.850750923156738,4.595604419708252,4.81905460357666,6.001236438751221,4.87685489654541
20,2025-04-14,,3.777198076248169,3.565765142440796,4.269767761230469,4.208732604980469,4.898550510406494,4.604464530944824,4.943376064300537,6.091962814331055,4.975208282470703
21,2025-04-21,,3.709243059158325,3.694429397583008,4.177454948425293,4.250889301300049,4.8662590980529785,4.6644206047058105,4.8700056076049805,5.9824018478393555,4.899832725524902
22,2025-04-28,,3.5974953174591064,3.6660614013671875,3.996257781982422,4.164247989654541,4.716241359710693,4.788914680480957,5.022281169891357,5.952018737792969,4.915626525878906
23,2025-05-05,,3.535054922103882,3.5775463581085205,4.031529426574707,4.241458892822266,4.7028326988220215,4.877249240875244,5.065528392791748,5.726260662078857,5.255225658416748
24,2025-05-12,,3.3566808700561523,3.615560531616211,3.8804197311401367,4.2591447830200195,4.460927486419678,5.126272201538086,4.99292516708374,5.625612735748291,5.315830707550049
